response_id,pair_id,preferred,file_preferred,file_rejected,model,source_csv
20240416010945_abea4708e8914ce89c3f06a36805e9f8,xtal_chords_20240416010910_bc0e7dfd862642788a30f21135329f1e,1,midi/xtal_chords_20240416010910_bc0e7dfd862642788a30f21135329f1e_1.mid,midi/xtal_chords_20240416010910_bc0e7dfd862642788a30f21135329f1e_0.mid,usergen_v1,openmusenet2/responses.csv
20240416011058_a208ba293e2548079209ca49326e2c52,xtal_chords_20240416011018_2398ba98c17e4f5fb5cecb05b5e95dcc,0,midi/xtal_chords_20240416011018_2398ba98c17e4f5fb5cecb05b5e95dcc_0.mid,midi/xtal_chords_20240416011018_2398ba98c17e4f5fb5cecb05b5e95dcc_1.mid,usergen_v1,openmusenet2/responses.csv
20240416012658_2765a756c3f44beea79e3d3d3eb630e6,610,0,midi/610_0.mid,midi/610_1.mid,pregen_v1,openmusenet2/responses.csv
20240416012815_6d3869793f8047a0930d0f6b8d906740,xtal_chords_20240416012744_4d4fcd97c44e4a29941402896a051dc3,0,midi/xtal_chords_20240416012744_4d4fcd97c44e4a29941402896a051dc3_0.mid,midi/xtal_chords_20240416012744_4d4fcd97c44e4a29941402896a051dc3_1.mid,usergen_v1,openmusenet2/responses.csv
20240416020105_12ab89a7768f44b18d23fd8cc90d1108,a_organ_20240416015956_8a99e11e67e14e609dedaf46af52f46f,0,midi/a_organ_20240416015956_8a99e11e67e14e609dedaf46af52f46f_0.mid,midi/a_organ_20240416015956_8a99e11e67e14e609dedaf46af52f46f_1.mid,usergen_v1,openmusenet2/responses.csv
20240416025840_2ead9e582a37477b8f291222d060275f,9_20240416025720_21c11b8c38f14f869fd29d234e128b3c,0,midi/9_20240416025720_21c11b8c38f14f869fd29d234e128b3c_0.mid,midi/9_20240416025720_21c11b8c38f14f869fd29d234e128b3c_1.mid,usergen_v1,openmusenet2/responses.csv
20240416030504_b704d52fd2984f95b9d8311b6096158e,xtal_chords_20240416030345_49a7a51d1e63460aa6fb12a085ac75a1,1,midi/xtal_chords_20240416030345_49a7a51d1e63460aa6fb12a085ac75a1_1.mid,midi/xtal_chords_20240416030345_49a7a51d1e63460aa6fb12a085ac75a1_0.mid,usergen_v1,openmusenet2/responses.csv
20240416222302_1fad3ffd00cb44c29be441661a1a1a09,9_20240416222055_11beb71db32c4ab6b49280417d07f58b,1,midi/9_20240416222055_11beb71db32c4ab6b49280417d07f58b_1.mid,midi/9_20240416222055_11beb71db32c4ab6b49280417d07f58b_0.mid,usergen_v1,openmusenet2/responses.csv
20240416222700_6d86f8859c684e089f8b2d127fc08afb,happy_cycling_melody_20240416222535_f175f855d69b4a90893f1af5afd49386,1,midi/happy_cycling_melody_20240416222535_f175f855d69b4a90893f1af5afd49386_1.mid,midi/happy_cycling_melody_20240416222535_f175f855d69b4a90893f1af5afd49386_0.mid,usergen_v1,openmusenet2/responses.csv
20240417195812_7e7d600b340d4892b4b3ed89d323b7c8,211,0,midi/211_0.mid,midi/211_1.mid,pregen_v1,openmusenet2/old_responses.csv
a_organ_20240415222110_2d2a9f07d7d944e5935c7365a5c154cc_0___20240415222135_e82fb1f51a8c4b0c9c8e842c4e6dc0f6,0,1,midi/0_1.mid,midi/0_0.mid,pregen_v1,openmusenet2/responses.csv
a_organ_20240415223745_ae5d25dfcbb4470b9133169fd491963c_0___20240415223840_5e88d8ab4fb14238836986c34df0d862,0,1,midi/0_1.mid,midi/0_0.mid,pregen_v1,openmusenet2/responses.csv
a_organ_20240415224430_1aa8652e980e4a898ac4a763b7004e34_0___20240415224505_e304810128bc41eea3bd2017eacca042,0,0,midi/0_0.mid,midi/0_1.mid,pregen_v1,openmusenet2/responses.csv
a_organ_20240415224430_1aa8652e980e4a898ac4a763b7004e34_0___20240415224542_48fd027ee36a4cdab6070f8f117e3ad5,0,0,midi/0_0.mid,midi/0_1.mid,pregen_v1,openmusenet2/responses.csv
a_organ_20240415224430_1aa8652e980e4a898ac4a763b7004e34_0___20240415224645_053e7679da884d28b713700c40fec1ef,0,1,midi/0_1.mid,midi/0_0.mid,pregen_v1,openmusenet2/responses.csv
a_organ_20240415224752_f55bcf0f14f5421db79d225015d0335a_0___20240415224824_b550b668a18247da91e33a981a5c503b,0,1,midi/0_1.mid,midi/0_0.mid,pregen_v1,openmusenet2/responses.csv
a_organ_20240415231815_2dc0c6e21ac344c78b3921d13a5eb542_0___20240415231828_55cbb8c7c9614f8fa35d9e1e199d0764,0,1,midi/0_1.mid,midi/0_0.mid,pregen_v1,openmusenet2/responses.csv
a_organ_20240415231941_d232eb5f79fe4676bb9a53460c870777_0___20240415232027_6a69cf8960cc4a828cb550f4b0e0d235,0,0,midi/0_0.mid,midi/0_1.mid,pregen_v1,openmusenet2/responses.csv
a_organ_20240415231941_d232eb5f79fe4676bb9a53460c870777_0___20240415232052_7b6fd19ef85248aa9659c382f0d21da8,0,0,midi/0_0.mid,midi/0_1.mid,pregen_v1,openmusenet2/responses.csv
a_organ_20240415231941_d232eb5f79fe4676bb9a53460c870777_1___20240415231949_1ecf149d945f4728a8ba6c9736be391c,0,1,midi/0_1.mid,midi/0_0.mid,pregen_v1,openmusenet2/responses.csv
a_organ_20240415231941_d232eb5f79fe4676bb9a53460c870777_1___20240415232026_58de6215100a4cb7b9f76789f0469283,0,1,midi/0_1.mid,midi/0_0.mid,pregen_v1,openmusenet2/responses.csv
a_organ_20240415231941_d232eb5f79fe4676bb9a53460c870777_1___20240415232050_c0004996f010400782f4e8b0a53a1514,0,1,midi/0_1.mid,midi/0_0.mid,pregen_v1,openmusenet2/responses.csv
a_organ_20240415232323_5c6c73f6fd5d443895297f9ffa686be2_0___20240415232350_a12c0d6de1004fb1b24fa4524cde2f8b,0,0,midi/0_0.mid,midi/0_1.mid,pregen_v1,openmusenet2/responses.csv
